English Word,Persian Translation,Encyclopedia Translation,User Suggestion
absorbing set,مجموعۀ جاذب,,
absorption,جذب,,
absorption law = absorption rule = absorptive law,قانون جذب,,
absorption probability,احتمال جذب,,
absorption rule → absorption law,,,
absorptive law → absorption law,,,
abstract algebra,جبر مجرد,,
abstract algebraic geometry,هندسۀ جبری مجرد,,
abstract algebraic logic,منطق جبری مجرد,,
abstract algebraic variety,چندگونای جبری مجرد,,
abstract analytic function,تابع تحلیلی مجرد,,
abstract concept,مفهوم مجرد، مفهوم انتزاعی,,
abstract definition,تعریف تجریدی,,
abstract group,گروه مجرد,,
abstract integral,انتگرال مجرد,,
abstract Lp-space,فضای مجرد-Lp,,
abstract L-space,فضای مجرد-L,,
abstract model,مدل مجرد، مدل انتزاعی,,
abstract M-space,M-فضای مجرد,,
abstract number → absolute number,,,
abstract Riemann surface,رویۀ ریمان مجرد,,
abstract set,مجموعۀ مجرد,,
abstract simplicial complex,مجتمع سادکی مجرد,,
abstract space,فضای مجرد,,
abstract variety,چندگونای مجرد,,
abstraction,تجرید,,
absurd 1,باطل,,
absurd 2,ممتنع,,
absurd statement,حکم باطل,,
absurdity,بطلان,,
abundant number = superfluous number,عدد زائد,,
ACC → ascending chain condition,,,
accelerate 1,شتاب دادن,,
accelerate 2,شتاب گرفتن,,
accelerated life test,آزمون عمر شتابیده,,
accelerated particle,ذرۀ شتابدار,,
accelerating field,میدان شتاب‌دهنده,,
acceleration,شتاب,,
acceleration vector,بردار شتاب,,
accelerator,شتاب‌دهنده,,
acceptance region,ناحیۀ پذیرش,,
acceptance sampling,نمونه‌گیری پذیرشی,,
acceptance test,آزمون پذیرش,,
acceptor,پذیرنده,,
accessibility condition,شرط دسترس‌پذیری,,
accessible boundary point,نقطۀ مرزی دسترس‌پذیر,,
accessible set = reachable set,مجموعه دسترس‌پذیر,,
accretive operator,عملگر افزاینده,,
accumulated error,خطای انباشته,,
accumulation,انباشتگی,,
accumulation point = cluster point,نقطۀ انباشتگی,,
accumulative error → cumulative error,,,
accuracy 1,دقت,,
accuracy 2,درستی,,
accuracy of approximation,دقت تقریب,,
accuracy of an estimale,درستی برآورد,,
acnode → isolated point,,,
acoustic memory,حافظۀ صوتی,,
action,کنش، عمل,,
action integral,انتگرال کنش,,
action principle,اصل کنش,,
action space,فضای عمل‌ها، فضای کنش‏ها,,
action variable,متغیر کنش,,
active element,عنصر فعال,,
activity analysis,تحلیل فعالیت,,
acute angle,زاویۀ حاده، زاویۀ تند,,
acute triangle,مثلث حاده، مثلث تند,,
acyclic circuit,مدار بی‌دور، مدار بی‌چرخه,,
acyclic graph,گراف بی‌دور، گراف بی‌چرخه,,
ad infinitum,تا بی‌نهایت,,
Adams-Bashforth method,روش آدامز- بشفورت,,
Adams-Moulton method,روش آدامز- مولتون,,
adaptive sampling,نمونه‌گیری سازوار,,
addend → summand,,,
adding machine,ماشین جمع,,
addition,جمع,,
addition axioms,اصل‌ موضوع‌های جمع,,
addition law of probability,قانون جمع احتمال,,
addition system,دستگاه (عددنویسی) جمعی,,
additive algorithm,الگوریتم جمعی,,
additive category,رستۀ جمعی,,
additive constant,ثابت جمعی,,
additive function,تابع جمعی,,
additive functional,تابعک جمعی,,
additive functor,تابعگون جمعی,,
additive group,گروه جمعی,,
additive identity,همانی جمعی,,
additive interval function,تابع بازه‌ای جمعی,,
additive inverse,وارون جمعی,,
additive inverse element,عنصر وارون جمعی,,
additive left inverse,وارون جمعی چپ,,
additive model,مدل جمعی,,
additive number theory,نظریۀ جمعی اعداد,,
additive power,توان جمعی,,
additive property,ویژگی جمعی بودن,,
additive right inverse,وارون جمعی راست,,
additive set function,تابع مجموعه‌ای جمعی,,
additive unit element,عنصر یکۀ جمعی,,
additive valuation,ارزۀ جمعی,,
additivity test,آزمون جمعی بودن,,
adherent point = point of adherence,نقطۀ چسبیده,,
adiabatic approximation,تقریب بی‌دررو,,
adiabatic curve,خم بی‌دررو,,
adjacency matrix,ماتریس مجاورت,,
adjacent angles,زاویه‌های مجاور,,
adjacent edges,یال‌های مجاور,,
adjacent points,نقطه‌های مجاور,,
adjacent sides,ضلع‌های مجاور,,
adjacent vertices,رأس‌های مجاور,,
adjoint boundary condition,شرط مرزی الحاقی,,
adjoint boundary value problem,مسئلۀ مقدار مرزی الحاقی,,
adjoint differential equations,معادله‌های دیفرانسیل الحاقی,,
adjoint differential expression,عبارت دیفرانسیل الحاقی,,
adjoint equation,معادلۀ الحاقی,,
adjoint functor,تابعگون الحاقی,,
adjoint kernel,هستۀ الحاقی,,
adjoint Lie algebra,جبر لی الحاقی,,
adjoint line bundle,کلاف خطی الحاقی,,
adjoint matrix,ماتریس الحاقی,,
adjoint operation,عمل الحاقی,,
adjoint operator = associate operator,عملگر الحاقی,,
adjoint partial differential equation,معادلۀ دیفرانسیل جزئی الحاقی,,
adjoint process,فرایند الحاقی,,
adjoint representation,نمایش الحاقی,,
adjoint space,فضای الحاقی,,
adjoint transformation,تبدیل الحاقی,,
adjugate matrix,ماتریس متمم، ماتریس همال,,
adjunction,الحاق,,
adjusted coefficient,ضریب تعدیل‌شده,,
adjusted mean,میانگین تعدیل‌شده,,
admissibility,پذیرفتنی بودن,,
admissible homomorphism,همریختی پذیرفتنی,,
admissible monomial,یک‌جمله‌ای پذیرفتنی,,
admissible decision function,تابع تصمیم پذیرفتنی,,
admissible estimator,برآوردگر پذیرفتنی,,
admissible function,تابع پذیرفتنی,,
admissible hypothesis,فرض پذیرفتنی,,
admissible isomorphism,یکریختی پذیرفتنی,,
admissible lattice,مشبّکۀ پذیرفتنی,,
admissible normal subgroup,زیرگروه نرمال پذیرفتنی,,
admissible rule,قاعدۀ پذیرفتنی,,
admissible sequence,دنبالۀ پذیرفتنی,,
admissible subgroup,زیرگروه پذیرفتنی,,
advanced calculus,حسابان پیشرفته، حساب دیفرانسیل‌وانتگرال پیشرفته,,
aeq function,تابع هم‌ارز,,
a.e. → almost everywhere,,,
a.e. convergence → almost everywhere convergence,,,
affine,آفین، همگر,,
affine algebraic group,گروه جبری آفین,,
affine algebraic variety,چندگونای جبری آفین,,
affine binormal,قائم دوم آفین,,
affine connection,التصاق آفین,,
affine coordinate system,دستگاه مختصات آفین,,
affine coordinates,مختصات آفین,,
affine covering,پوشش آفین,,
affine curvature,خمیدگی آفین,,
affine design,طرح آفین,,
affine differential geometry,هندسۀ دیفرانسیل آفین,,
affine distance,فاصلۀ آفین,,
affine distortion,دگرشکلی آفین,,
affine geometry,هندسۀ آفین,,
affine group,گروه آفین,,
affine hyperplane,ابرصفحۀ آفین,,
affine locally symmetric space,فضای موضعاً متقارن آفین,,
affine mapping,نگاشت آفین,,
affine minimal surface,رویۀ مینیمال آفین,,
affine morphism,ریختار آفین,,
affine normal,قائم آفین,,
affine plane,صفحۀ آفین,,
affine ring,حلقۀ آفین,,
affine space,فضای آفین,,
affine spectrum,طیف آفین,,
affine symmetric space,فضای متقارن آفین,,
affine torsion,تاب آفین,,
affine transformation = affinity,تبدیل آفین,,
affine variety,چندگونای آفین,,
affinely congruent subsets,زیرمجموعه‌های آفینی‌همنهشت,,
affinity → affine transformation,,,
a fortiori,به‏طریق اولی,,
aggregate,انبوهه,,
aggregation,انبوهش,,
aggregative index,شاخص انبوهشی,,
aggregative model,مدل انبوهشی,,
Ahlforse analytic measure → analytic capacity,,,
aleph null = aleph-naught = aleph-nought = aleph-zero,الف‌صفر,,
aleph-naught → aleph-null,,,
aleph-nought → aleph-null,,,
aleph-zero → aleph-null,,,
Alexander ideal,ایده‏آل الگزندر,,
Alexander polynomial,چندجمله‌ای الگزندر,,
Alexander-Pontryagin duality,دوگانی الکساندر- پونتریاگین,,
Alexandroff compactification 1,فشرده‌سازی الکساندروف,,
Alexandroff compactification 2,فشرده ‌ساخت الکساندروف,,
algebra,جبر,,
algebra homomorphism,همریختی جبرها، همریختی جبری,,
algebra isomorphism,یکریختی جبرها، یکریختی جبری,,
algebra of propositions,جبر گزاره‌ها,,
algebra of sets = set algebra,جبر مجموعه‌ها,,
algebra with identity → algebra with unity,,,
algebra with unity = algebra with identity,جبر یکه‌دار,,
algebraic addition,جمع جبری,,
algebraic algebra,جبر جبری,,
algebraic branch point,نقطۀ شاخه‌ای جبری,,
algebraic closure,بستار جبری,,
algebraic combinatorics,ترکیبیات جبری,,
algebraic complement,متمم جبری,,
algebraic correspondence,تناظر جبری,,
algebraic curve,خم جبری,,
algebraic dependence,وابستگی جبری,,
algebraic dimension,بعد جبری,,
algebraic dual space,فضای دوگان جبری,,
algebraic element,عنصر جبری,,
algebraic equation,معادلۀ جبری,,
algebraic expression,عبارت جبری,,
algebraic extension,گسترش جبری، توسیع جبری,,
algebraic family,خانوادۀ جبری,,
algebraic function,تابع جبری,,
algebraic geometry,هندسۀ جبری,,
algebraic group,گروه جبری,,
algebraic group of transformations,گروه تبدیلات جبری,,
algebraic homotopy,هم‌جایی جبری,,
algebraic hull,غلاف جبری,,
algebraic identity,اتحاد جبری,,
algebraic independence,استقلال جبری,,
algebraic inequality,نابرابری جبری,,
algebraic integer,عدد صحیح جبری,,
algebraic invariant,ناوردای جبری,,
algebraic law,قانون جبری,,
algebraic logic,منطق جبری,,
algebraic manifold,خمینۀ جبری,,
algebraic multiplicity of an eigenvalue,چندگانگی جبری ویژه‌مقدار,,
algebraic number,عدد جبری,,
algebraic number field,میدان اعداد جبری,,
algebraic number theory 1 = theory of algebraic numbers,نظریۀ اعداد جبری,,
algebraic number theory 2 = algebraic theory of numbers,نظریۀ جبری اعداد,,
algebraic operation,عمل جبری,,
algebraic operator,عملگر جبری,,
algebraic scheme,طرح جبری,,
algebraic sheaf,بافۀ جبری,,
algebraic singularity,تکینۀ جبری,,
algebraic solution,حل جبری,,
algebraic structure,ساختار جبری,,
algebraic sum,مجموع جبری,,
algebraic surface,رویۀ جبری,,
algebraic system,دستگاه جبری,,
algebraic theory of numbers → algebraic number theory 2,,,
algebraic topology,توپولوژی جبری,,
algebraic torus,چنبرۀ جبری,,
algebraic variety,چندگونای جبری,,
algebraically closed field = algebraically complete field,میدان جبری‌بسته,,
algebraically complete field → algebraically closed field,,,
algebraically equivalent cycles,دورهای جبری‌هم‌ارز,,
algebraically independent elements,عنصرهای جبری‌مستقل,,
algorithm,الگوریتم، خوارزمی,,
algorithmic language,زبان الگوریتمی، زبان خوارزمیک,,
alias 1,دگرنام,,
alias 2,هم‌اثر,,
aliasing,هم‌اثرسازی,,
alibi,دگرجا,,
alidade,عضاده، آلیداد,,
aliquot → aliquot part of a number,,,
aliquot part of a number= aliquot,عامل عدد، شمارندۀ عدد,,
all umbilic surface,رویۀ تمام‌ناف، رویۀ هرنقطه نافی,,
allocation,تخصیص,,
almost all,تقریباً همه,,
almost certainly convergence = almost surely convergence = almost sure convergence,همگرایی تقریباً حتمی,,
almost everywhere = a.e.,تقریباً همه‌جا,,
almost everywhere continuous function,تابع تقریباً همه‌جا پیوسته,,
almost everywhere convergence = a.e. convergence,همگرایی تقریباً همه‏جایی,,
almost everywhere convergent sequence,دنبالۀ تقریباً همه‌جا همگرا,,
almost invariant test,آزمون تقریباً ناوردا,,
almost periodic function,تابع تقریباً دوره‌ای,,
almost sure convergence → almost certainly convergence,,,
almost surely convergence → almost certainly convergence,,,
almost uniform convergence,همگرایی تقریباً یکنواخت,,
alphabet,الفبا,,
alternate angles,زاویه‌های متبادل,,
alternate exterior angles,زاویه‌های متبادل برونی,,
alternate interior angles,زاویه‌های متبادل درونی,,
alternating character,سرشت متناوب,,
alternating current,جریان متناوب,,
alternating form,صورت متناوب,,
alternating group,گروه متناوب,,
alternating matrix,ماتریس متناوب,,
alternating polynomial,چندجمله‌ای متناوب,,
alternating sequence,دنبالۀ متناوب,,
alternating series,سری متناوب,,
alternation → disjunction,,,
alternative algebra,جبر متناوب,,
alternative field,میدان متناوب,,
alternative hypothesis,فرض مقابل,,
alternative ring,حلقۀ متناوب,,
altitude,ارتفاع,,
altitude theorem,قضیۀ ارتفاع,,
alysoid → catenary,,,
amalgam method,روش ملغمه‌ای,,
amalgamated free product,حاصل ضرب آزاد ملغمه‌ای,,
amalgamated product,حاصل‏ضرب ملغمه‌ای,,
amalgamated sum,مجموع ملغمه‌ای,,
ambient space,فضای محیطی,,
ambiguity,ابهام,,
ambiguous point,نقطۀ مبهم,,
amenable group,گروه میانگین‌پذیر,,
amicable numbers,اعداد متحاب,,
A-module of finite type,A-مدول از نوع متناهی,,
amplification,تقویت,,
amplifier,تقویت‌کننده,,
amplitude 1,دامنه,,
amplitude 2 → argument,,,
analog computer,کامپیوتر قیاسی,,
analog data,داده‌های قیاسی,,
analog quantity,کمیت قیاسی,,
analysis 1,آنالیز,,
analysis 2,تحلیل,,
analysis of covariance,تحلیل کوواریانس,,
analysis of variance = ANOVA= dispersion analysis,تحلیل واریانس,,
analysis situs,تحلیل جا,,
analyst 1,آنالیزدان,,
analyst 2,تحلیلگر,,
analytic capacity,گنجایش تحلیلی,,
analytic continuation = analytic prolongation,فرابُرد تحلیلی، ادامۀ تحلیلی,,
analytic curve,خم تحلیلی,,
analytic function,تابع تحلیلی,,
analytic geometry = Cartesian geometry,هندسۀ تحلیلی,,
analytic immersion,فروبری تحلیلی,,
analytic index,شاخص تحلیلی,,
analytic isomorphism = biholomorphic mapping,یکریختی تحلیلی,,
analytic line integral,انتگرال خمیده‌خطی تحلیلی,,
analytic manifold,خمینۀ تحلیلی,,
analytic neighborhood,همسایگی تحلیلی,,
analytic number theory,نظریۀ تحلیلی اعداد,,
analytic predicate,محمول تحلیلی,,
analytic prolongation → analytic continuation,,,
analytic residue,ماندۀ تحلیلی,,
analytic set,مجموعۀ تحلیلی,,
analytic vector,بردار تحلیلی,,
analytical mechanics,مکانیک تحلیلی,,
analyticity,تحلیلی بودن,,
ancestor,نیا,,
anchor ring → torus,,,
ancillary information,اطلاع کمکی,,
ancillary statistic,آمارۀ کمکی,,
AND function,تابع وَ,,
AND gate,دریچه وَ,,
angle,زاویه، گوشه,,
angle at center → central angle,,,
angle at circumference → inscribed angle,,,
angle bisector = bisectrix,نیمساز زاویه,,
